country,satisfaction,gdp
Norway,7.5370001792907715,75496.7540581998
Denmark,7.521999835968018,57610.0981801135
Iceland,7.504000186920166,72010.1490316258
Switzerland,7.49399995803833,83352.0886533412
Finland,7.468999862670898,46297.4963459994
Netherlands,7.376999855041504,48554.9922761756
Canada,7.315999984741211,45129.3564395662
New Zealand,7.314000129699707,42992.8952738896
Sweden,7.283999919891357,53791.5087298403
Australia,7.283999919891357,54027.9668184568
Israel,7.2129998207092285,40474.6681292998
Costa Rica,7.078999996185303,12225.5744931385
Austria,7.00600004196167,47309.3662735282
United States,6.993000030517578,60109.6557260477
Ireland,6.9770002365112305,70413.1218331383
Germany,6.951000213623047,44442.7718397577
Belgium,6.890999794006348,44089.3100875118
Luxembourg,6.86299991607666,107361.306947271
United Kingdom,6.714000225067139,40304.7230763678
Chile,6.6519999504089355,14998.8170563212
United Arab Emirates,6.6479997634887695,40644.7911901772
Brazil,6.635000228881836,9928.6430632111
Czech Republic,6.609000205993652,20636.199952435
Argentina,6.598999977111816,14613.041824658
Mexico,6.578000068664551,9287.84958732302
Singapore,6.572000026702881,61176.4563611565
Malta,6.5269999504089355,28250.6977747589
Uruguay,6.453999996185303,18690.8938401411
Guatemala,6.453999996185303,4454.04814983548
Panama,6.452000141143799,15146.4023742294
France,6.441999912261963,38685.2584944953
Thailand,6.423999786376953,6593.81835157138
Taiwan Province of China,6.421999931335449,NA
Spain,6.4029998779296875,28100.5862419453
Qatar,6.375,59124.8672675489
Colombia,6.35699987411499,6376.70671552601
Saudi Arabia,6.343999862670898,20802.4663134648
Trinidad and Tobago,6.168000221252441,16173.7400502023
Kuwait,6.105000019073486,29759.4674424751
Slovakia,6.0980000495910645,NA
Bahrain,6.086999893188477,23742.9373424159
Malaysia,6.084000110626221,10259.3048064811
Nicaragua,6.071000099182129,2159.16192554656
Ecuador,6.007999897003174,6213.50312736888
El Salvador,6.002999782562256,3910.25596873198
Poland,5.9730000495910645,13864.6817579973
Uzbekistan,5.9710001945495605,1826.56691924216
Italy,5.964000225067139,32326.6742113994
Russia,5.9629998207092285,NA
Belize,5.955999851226807,4945.85769867226
Japan,5.920000076293945,38386.5111457057
Lithuania,5.9019999504089355,16843.699654691
Algeria,5.872000217437744,4109.70344220826
Latvia,5.849999904632568,15643.485634322
South Korea,5.8379998207092285,NA
Moldova,5.8379998207092285,3509.69345025814
Romania,5.824999809265137,10807.0091671993
Bolivia,5.822999954223633,3351.12434432642
Turkmenistan,5.822000026702881,6587.09260439788
Kazakhstan,5.818999767303467,9247.58133129626
North Cyprus,5.809999942779541,NA
Slovenia,5.757999897003174,23454.7395172714
Peru,5.715000152587891,6710.50760214164
Mauritius,5.629000186920166,10484.9058280992
Cyprus,5.620999813079834,26444.0743777801
Estonia,5.611000061035156,20407.9273809157
Belarus,5.568999767303467,5761.74712023007
Libya,5.525000095367432,5756.69932474775
Turkey,5.5,10589.667724687
Paraguay,5.493000030517578,5678.8699722
"Hong Kong S.A.R., China",5.4720001220703125,NA
Philippines,5.429999828338623,3123.24564174356
Serbia,5.394999980926514,6292.54362926707
Jordan,5.335999965667725,4231.51827999134
Hungary,5.323999881744385,14605.8543453283
Jamaica,5.310999870300293,5070.0995030616
Croatia,5.293000221252441,13451.6249479152
Kosovo,5.2789998054504395,4045.61420880757
China,5.2729997634887695,8879.43866711453
Pakistan,5.269000053405762,1464.9261954181
Indonesia,5.26200008392334,3837.57802362633
Venezuela,5.25,NA
Montenegro,5.236999988555908,7803.41113682269
Morocco,5.235000133514404,3035.45443323105
Azerbaijan,5.234000205993652,4147.08971569171
Dominican Republic,5.230000019073486,7609.35327534023
Greece,5.2270002365112305,18562.2294309576
Lebanon,5.224999904632568,7792.5988604995
Portugal,5.195000171661377,21437.3475036794
Bosnia and Herzegovina,5.182000160217285,5394.57995305594
Honduras,5.181000232696533,2453.72711527978
Macedonia,5.175000190734863,NA
Somalia,5.151000022888184,309.054380310838
Vietnam,5.073999881744385,2365.52161506114
Nigeria,5.073999881744385,1968.56539847444
Tajikistan,5.040999889373779,848.672379903239
Bhutan,5.011000156402588,3286.59674376682
Kyrgyzstan,5.004000186920166,NA
Nepal,4.961999893188477,1048.45375534427
Mongolia,4.954999923706055,3669.40693442825
South Africa,4.828999996185303,6131.47944960886
Tunisia,4.804999828338623,3481.24110633379
Palestinian Territories,4.775000095367432,NA
Egypt,4.735000133514404,NA
Bulgaria,4.714000225067139,8334.08172775332
Sierra Leone,4.709000110626221,499.380974567747
Cameroon,4.695000171661377,1425.10636777271
Iran,4.691999912261963,NA
Albania,4.644000053405762,4531.02080555986
Bangladesh,4.607999801635742,1563.76781861826
Namibia,4.573999881744385,5367.11467314944
Kenya,4.552999973297119,1572.3457337310099
Mozambique,4.550000190734863,461.415094120589
Myanmar,4.545000076293945,1257.80357639114
Senegal,4.534999847412109,1361.70197218375
Zambia,4.513999938964844,1535.19657398198
Iraq,4.497000217437744,5076.69079455993
Gabon,4.465000152587891,7230.43491161979
Ethiopia,4.460000038146973,768.523015429372
Sri Lanka,4.440000057220459,4076.74700282733
Armenia,4.375999927520752,3914.52785436696
India,4.315000057220459,1980.66701982813
Mauritania,4.291999816894531,1577.86437020455
Congo (Brazzaville),4.290999889373779,NA
Georgia,4.285999774932861,4357.00093554628
Congo (Kinshasa),4.28000020980835,NA
Mali,4.190000057220459,830.021515346886
Ivory Coast,4.179999828338623,NA
Cambodia,4.168000221252441,1385.26006616159
Sudan,4.138999938964844,1103.00002634177
Ghana,4.119999885559082,2020.68178984221
Ukraine,4.0960001945495605,2640.67567655839
Uganda,4.080999851226807,746.830751184521
Burkina Faso,4.0320000648498535,734.996267960528
Niger,4.0279998779296875,517.977044176666
Malawi,3.9700000286102295,497.310409707697
Chad,3.936000108718872,665.948884859102
Zimbabwe,3.875,1335.66506432532
Lesotho,3.808000087738037,1102.94441037887
Angola,3.7950000762939453,4095.8100568707
Afghanistan,3.7939999103546143,519.888912573073
Botswana,3.7660000324249268,7893.41867148033
Benin,3.6570000648498535,1136.59397046254
Madagascar,3.6440000534057617,515.293309281062
Haiti,3.6029999256134033,1294.23962819616
Yemen,3.5929999351501465,NA
South Sudan,3.5910000801086426,NA
Liberia,3.5329999923706055,698.702358713664
Guinea,3.506999969482422,855.575270552367
Togo,3.494999885559082,830.745276651438
Rwanda,3.4709999561309814,772.316989145919
Syria,3.4619998931884766,NA
Tanzania,3.3489999771118164,1004.90658838695
Burundi,2.9049999713897705,292.998009548647
Central African Republic,2.693000078201294,450.900697005339
